Linear_Linear1 Episode 233, Reward: -148.08062728875356, Steps: 58
Linear_Linear1 Episode 234, Reward: -102.35277153290144, Steps: 51
Linear_Linear1 Episode 235, Reward: -147.52912573391646, Steps: 73
Linear_Linear1 Episode 236, Reward: -111.2468842962106, Steps: 77
Linear_Linear1 Episode 237, Reward: -138.59672528999332, Steps: 68
Linear_Linear1 Episode 238, Reward: -92.08583683993393, Steps: 56
Linear_Linear1 Episode 239, Reward: -124.9590040999407, Steps: 63
Linear_Linear1 Episode 240, Reward: -112.32178263332185, Steps: 65
Linear_Linear1 Episode 241, Reward: -89.67190961866072, Steps: 55
Linear_Linear1 Episode 242, Reward: -126.85688089393793, Steps: 60
Linear_Linear1 Episode 243, Reward: -326.27634875200647, Steps: 104
Linear_Linear1 Episode 244, Reward: -141.2657442121775, Steps: 77
Linear_Linear1 Episode 245, Reward: -139.88636830580208, Steps: 68
Linear_Linear1 Episode 246, Reward: -302.2464389190044, Steps: 94
Linear_Linear1 Episode 247, Reward: -126.16719742803937, Steps: 59
Linear_Linear1 Episode 248, Reward: -210.95133593786625, Steps: 89
Linear_Linear1 Episode 249, Reward: -136.8836814942637, Steps: 56
Linear_Linear1 Episode 250, Reward: -158.08795405621504, Steps: 58
Linear_Linear1 Episode 251, Reward: -117.17516629989538, Steps: 67
Linear_Linear1 Episode 252, Reward: -136.38454953460774, Steps: 58
Linear_Linear1 Episode 253, Reward: -152.9189249035691, Steps: 78
Linear_Linear1 Episode 254, Reward: -146.904347790867, Steps: 78
Linear_Linear1 Episode 255, Reward: -139.45609046175622, Steps: 56
Linear_Linear1 Episode 256, Reward: -158.77596857128097, Steps: 76
Linear_Linear1 Episode 257, Reward: -129.90171415238564, Steps: 64
Linear_Linear1 Episode 258, Reward: -119.04556049627539, Steps: 54
Linear_Linear1 Episode 259, Reward: -141.49877916968626, Steps: 80
Linear_Linear1 Episode 260, Reward: -122.05992751369536, Steps: 60
Linear_Linear1 Episode 261, Reward: -132.95938376096964, Steps: 87
Linear_Linear1 Episode 262, Reward: -172.34266822371018, Steps: 73
Linear_Linear1 Episode 263, Reward: -105.82655952432737, Steps: 81
Linear_Linear1 Episode 264, Reward: -119.9323056028336, Steps: 57
Linear_Linear1 Episode 265, Reward: -129.71273624897486, Steps: 64
Linear_Linear1 Episode 266, Reward: -191.20059018982556, Steps: 77
Linear_Linear1 Episode 267, Reward: -264.85976664591703, Steps: 65
Linear_Linear1 Episode 268, Reward: -143.70928139341444, Steps: 56
Linear_Linear1 Episode 269, Reward: -185.58473795852265, Steps: 90
Linear_Linear1 Episode 270, Reward: -277.7045119403716, Steps: 61
Linear_Linear1 Episode 271, Reward: -218.11382287529534, Steps: 60
Linear_Linear1 Episode 272, Reward: -245.2783640572777, Steps: 58
Linear_Linear1 Episode 273, Reward: 10.972918781386511, Steps: 59
Linear_Linear1 Episode 274, Reward: -163.20631194155598, Steps: 72
Linear_Linear1 Episode 275, Reward: -156.847918222914, Steps: 69
Linear_Linear1 Episode 276, Reward: -321.09261606808224, Steps: 82
Linear_Linear1 Episode 277, Reward: -237.04881505819878, Steps: 58
Linear_Linear1 Episode 278, Reward: -261.5293729560517, Steps: 62
Linear_Linear1 Episode 279, Reward: -148.37904301244905, Steps: 84
Linear_Linear1 Episode 280, Reward: -5.900056560027963, Steps: 95
Linear_Linear1 Episode 281, Reward: -160.7472162654153, Steps: 91
Linear_Linear1 Episode 282, Reward: -136.18568534587538, Steps: 55
Linear_Linear1 Episode 283, Reward: -107.35981176018896, Steps: 51
Linear_Linear1 Episode 284, Reward: -9.194057116477012, Steps: 80
Linear_Linear1 Episode 285, Reward: -129.20949870945435, Steps: 71
Linear_Linear1 Episode 286, Reward: -122.2831250773234, Steps: 59
Linear_Linear1 Episode 287, Reward: -308.1491252971288, Steps: 86
Linear_Linear1 Episode 288, Reward: -231.74870576499382, Steps: 78
Linear_Linear1 Episode 289, Reward: -136.1258828372512, Steps: 54
Linear_Linear1 Episode 290, Reward: -159.15757234417322, Steps: 62
Linear_Linear1 Episode 291, Reward: -183.18470364150178, Steps: 71
Linear_Linear1 Episode 292, Reward: -143.23993121195565, Steps: 69
Linear_Linear1 Episode 293, Reward: -304.8764177693855, Steps: 82
Linear_Linear1 Episode 294, Reward: -124.94675162164287, Steps: 61
Linear_Linear1 Episode 295, Reward: -135.6088434245479, Steps: 53
Linear_Linear1 Episode 296, Reward: -272.90666720528725, Steps: 76
Linear_Linear1 Episode 297, Reward: -150.3429513120004, Steps: 65
Linear_Linear1 Episode 298, Reward: -143.5845383237478, Steps: 67
Linear_Linear1 Episode 299, Reward: -55.26495326421811, Steps: 66
Linear_Linear1 Episode 300, Reward: -137.67459342862807, Steps: 82
Linear_Linear1 Episode 301, Reward: 12.605452719906836, Steps: 79
Linear_Linear1 Episode 302, Reward: -137.22504461832747, Steps: 89
Linear_Linear1 Episode 303, Reward: -161.1257042760578, Steps: 71
Linear_Linear1 Episode 304, Reward: -108.7313838947631, Steps: 83
Linear_Linear1 Episode 305, Reward: 5.791039037552437, Steps: 117
Linear_Linear1 Episode 306, Reward: -110.87729761432183, Steps: 54
Linear_Linear1 Episode 307, Reward: -146.77823293369946, Steps: 58
Linear_Linear1 Episode 308, Reward: -163.59805055680368, Steps: 84
Linear_Linear1 Episode 309, Reward: -140.5526750984355, Steps: 66
Linear_Linear1 Episode 310, Reward: -148.115959934325, Steps: 91
Linear_Linear1 Episode 311, Reward: -127.11398542833118, Steps: 77
Linear_Linear1 Episode 312, Reward: -145.05938505057483, Steps: 61
Linear_Linear1 Episode 313, Reward: -154.12342166394473, Steps: 55
Linear_Linear1 Episode 314, Reward: -154.40141588868008, Steps: 73
Linear_Linear1 Episode 315, Reward: -113.67043435005931, Steps: 79
Linear_Linear1 Episode 316, Reward: -164.4273937742935, Steps: 70
Linear_Linear1 Episode 317, Reward: -147.33413887641956, Steps: 65
Linear_Linear1 Episode 318, Reward: -53.46410514027296, Steps: 82
Linear_Linear1 Episode 319, Reward: -128.41600231229143, Steps: 61
Linear_Linear1 Episode 320, Reward: -140.6701185346243, Steps: 65
Linear_Linear1 Episode 321, Reward: -139.1039767372804, Steps: 58
Linear_Linear1 Episode 322, Reward: -146.70903753609088, Steps: 56
Linear_Linear1 Episode 323, Reward: -158.01994076383968, Steps: 70
Linear_Linear1 Episode 324, Reward: -138.63033370780565, Steps: 61
Linear_Linear1 Episode 325, Reward: -150.32750112599163, Steps: 57
Linear_Linear1 Episode 326, Reward: -240.1963189615948, Steps: 82
Linear_Linear1 Episode 327, Reward: -83.75958549117937, Steps: 53
Linear_Linear1 Episode 328, Reward: -144.57272080599537, Steps: 61
