LinearNorm_Residue2 Episode 190, Reward: -330.3860199964409, Steps: 80
LinearNorm_Residue2 Episode 191, Reward: -200.04158681065542, Steps: 127
LinearNorm_Residue2 Episode 192, Reward: -238.6965104826526, Steps: 125
LinearNorm_Residue2 Episode 193, Reward: -215.58681473697771, Steps: 175
LinearNorm_Residue2 Episode 194, Reward: -231.72891262955486, Steps: 96
LinearNorm_Residue2 Episode 195, Reward: -318.41623423143903, Steps: 81
LinearNorm_Residue2 Episode 196, Reward: -393.50523500614463, Steps: 211
LinearNorm_Residue2 Episode 197, Reward: -195.11340570807974, Steps: 206
LinearNorm_Residue2 Episode 198, Reward: -232.62958938993955, Steps: 133
LinearNorm_Residue2 Episode 199, Reward: -187.71077570835394, Steps: 123
LinearNorm_Residue2 Episode 200, Reward: -200.27372813057735, Steps: 270
LinearNorm_Residue2 Episode 201, Reward: -146.03129509162142, Steps: 131
LinearNorm_Residue2 Episode 202, Reward: -33.21142448100784, Steps: 312
LinearNorm_Residue2 Episode 203, Reward: -253.43796710664708, Steps: 139
LinearNorm_Residue2 Episode 204, Reward: -225.36746894735023, Steps: 145
LinearNorm_Residue2 Episode 205, Reward: -656.9842465473014, Steps: 148
LinearNorm_Residue2 Episode 206, Reward: -268.44905514005757, Steps: 89
LinearNorm_Residue2 Episode 207, Reward: -253.0744931009014, Steps: 100
LinearNorm_Residue2 Episode 208, Reward: -335.10625101929713, Steps: 105
LinearNorm_Residue2 Episode 209, Reward: -305.40131566178775, Steps: 104
LinearNorm_Residue2 Episode 210, Reward: -222.36860581191507, Steps: 102
LinearNorm_Residue2 Episode 211, Reward: -330.9227502470572, Steps: 234
LinearNorm_Residue2 Episode 212, Reward: -235.01829093420864, Steps: 127
LinearNorm_Residue2 Episode 213, Reward: -209.75488637561102, Steps: 130
LinearNorm_Residue2 Episode 214, Reward: -226.83946559685643, Steps: 157
LinearNorm_Residue2 Episode 215, Reward: -242.61865113812195, Steps: 148
LinearNorm_Residue2 Episode 216, Reward: -332.5568121610962, Steps: 278
LinearNorm_Residue2 Episode 217, Reward: -213.85774210667984, Steps: 187
LinearNorm_Residue2 Episode 218, Reward: -365.53601071885635, Steps: 317
LinearNorm_Residue2 Episode 219, Reward: -401.65493274556405, Steps: 465
LinearNorm_Residue2 Episode 220, Reward: -290.35341254425555, Steps: 326
LinearNorm_Residue2 Episode 221, Reward: -374.03032940248414, Steps: 346
LinearNorm_Residue2 Episode 222, Reward: -310.23180211282926, Steps: 215
LinearNorm_Residue2 Episode 223, Reward: -187.80591023241027, Steps: 158
LinearNorm_Residue2 Episode 224, Reward: -245.3631815208379, Steps: 164
LinearNorm_Residue2 Episode 225, Reward: -46.92063646814262, Steps: 111
LinearNorm_Residue2 Episode 226, Reward: -188.58471475213418, Steps: 149
LinearNorm_Residue2 Episode 227, Reward: -248.94899527874568, Steps: 157
LinearNorm_Residue2 Episode 228, Reward: -357.665343180193, Steps: 289
LinearNorm_Residue2 Episode 229, Reward: -288.45921872210096, Steps: 247
LinearNorm_Residue2 Episode 230, Reward: -219.8504872768175, Steps: 163
LinearNorm_Residue2 Episode 231, Reward: -207.09772533574812, Steps: 155
LinearNorm_Residue2 Episode 232, Reward: -305.46034874581414, Steps: 238
LinearNorm_Residue2 Episode 233, Reward: -77.77667390928531, Steps: 171
LinearNorm_Residue2 Episode 234, Reward: -273.9093252193232, Steps: 214
LinearNorm_Residue2 Episode 235, Reward: -26.494722261051194, Steps: 282
LinearNorm_Residue2 Episode 236, Reward: -95.33791349498787, Steps: 156
LinearNorm_Residue2 Episode 237, Reward: -327.5657975756577, Steps: 158
LinearNorm_Residue2 Episode 238, Reward: -215.9623466145925, Steps: 155
LinearNorm_Residue2 Episode 239, Reward: -198.60885737554946, Steps: 190
LinearNorm_Residue2 Episode 240, Reward: -120.69486363647061, Steps: 231
LinearNorm_Residue2 Episode 241, Reward: -392.949630278573, Steps: 1321
LinearNorm_Residue2 Episode 242, Reward: -144.98122065122283, Steps: 298
LinearNorm_Residue2 Episode 243, Reward: -39.205429675606155, Steps: 126
LinearNorm_Residue2 Episode 244, Reward: -196.5395739326658, Steps: 205
LinearNorm_Residue2 Episode 245, Reward: -59.99331664546295, Steps: 106
LinearNorm_Residue2 Episode 246, Reward: -226.28690289471427, Steps: 196
LinearNorm_Residue2 Episode 247, Reward: -271.01492157398764, Steps: 161
LinearNorm_Residue2 Episode 248, Reward: 7.732393815473088, Steps: 131
LinearNorm_Residue2 Episode 249, Reward: -91.10859271426268, Steps: 87
LinearNorm_Residue2 Episode 250, Reward: -84.91814189439165, Steps: 85
LinearNorm_Residue2 Episode 251, Reward: -84.37105953930077, Steps: 93
LinearNorm_Residue2 Episode 252, Reward: -59.63722207886837, Steps: 108
LinearNorm_Residue2 Episode 253, Reward: 29.714445059718628, Steps: 122
LinearNorm_Residue2 Episode 254, Reward: 9.059739706221066, Steps: 104
LinearNorm_Residue2 Episode 255, Reward: -85.67283728581909, Steps: 80
LinearNorm_Residue2 Episode 256, Reward: -77.83978880319705, Steps: 107
LinearNorm_Residue2 Episode 257, Reward: -49.62677963902199, Steps: 97
LinearNorm_Residue2 Episode 258, Reward: -76.5032914657481, Steps: 174
LinearNorm_Residue2 Episode 259, Reward: -46.38863264854348, Steps: 97
LinearNorm_Residue2 Episode 260, Reward: -65.71999742554999, Steps: 99
LinearNorm_Residue2 Episode 261, Reward: -113.64299769493772, Steps: 88
LinearNorm_Residue2 Episode 262, Reward: -86.0211374672727, Steps: 107
LinearNorm_Residue2 Episode 263, Reward: -33.38805898268069, Steps: 109
LinearNorm_Residue2 Episode 264, Reward: -249.33045903141118, Steps: 183
LinearNorm_Residue2 Episode 265, Reward: -121.28410738398333, Steps: 112
LinearNorm_Residue2 Episode 266, Reward: -54.96196642127765, Steps: 145
LinearNorm_Residue2 Episode 267, Reward: 25.678362823899917, Steps: 131
LinearNorm_Residue2 Episode 268, Reward: -176.93439206748317, Steps: 201
LinearNorm_Residue2 Episode 269, Reward: -8.174353521988536, Steps: 195
LinearNorm_Residue2 Episode 270, Reward: -139.22599266857435, Steps: 121
LinearNorm_Residue2 Episode 271, Reward: -429.087898940554, Steps: 295
LinearNorm_Residue2 Episode 272, Reward: -190.38149230271654, Steps: 153
LinearNorm_Residue2 Episode 273, Reward: -230.88694882339797, Steps: 369
LinearNorm_Residue2 Episode 274, Reward: -218.48912507860337, Steps: 210
LinearNorm_Residue2 Episode 275, Reward: -53.44498902505549, Steps: 121
LinearNorm_Residue2 Episode 276, Reward: -62.78074692614321, Steps: 209
LinearNorm_Residue2 Episode 277, Reward: -85.7396803628414, Steps: 178
LinearNorm_Residue2 Episode 278, Reward: -85.30500074194697, Steps: 154
LinearNorm_Residue2 Episode 279, Reward: -86.08167822941105, Steps: 133
LinearNorm_Residue2 Episode 280, Reward: -39.175856922102554, Steps: 159
LinearNorm_Residue2 Episode 281, Reward: -156.77234167563435, Steps: 188
LinearNorm_Residue2 Episode 282, Reward: -231.91894504192152, Steps: 215
LinearNorm_Residue2 Episode 283, Reward: -319.4445074659568, Steps: 226
LinearNorm_Residue2 Episode 284, Reward: -75.57134091675327, Steps: 228
LinearNorm_Residue2 Episode 285, Reward: -222.6309585767455, Steps: 246
LinearNorm_Residue2 Episode 286, Reward: -22.871252150330122, Steps: 117
LinearNorm_Residue2 Episode 287, Reward: 33.89993235439175, Steps: 155
LinearNorm_Residue2 Episode 288, Reward: -168.6889668762227, Steps: 158
LinearNorm_Residue2 Episode 289, Reward: -160.25184575658722, Steps: 135
LinearNorm_Residue2 Episode 290, Reward: -113.79412549170748, Steps: 156
LinearNorm_Residue2 Episode 291, Reward: -298.1885525368026, Steps: 254
LinearNorm_Residue2 Episode 292, Reward: -18.996953118272472, Steps: 208
LinearNorm_Residue2 Episode 293, Reward: 144.77246973097374, Steps: 510
LinearNorm_Residue2 Episode 294, Reward: -116.55236081789715, Steps: 247
LinearNorm_Residue2 Episode 295, Reward: -1.0147635797705306, Steps: 273
