Linear_Residue2 Episode 127, Reward: -71.67405192483395, Steps: 84
Linear_Residue2 Episode 128, Reward: -117.49452263199223, Steps: 61
Linear_Residue2 Episode 129, Reward: -149.49324113334802, Steps: 85
Linear_Residue2 Episode 130, Reward: -83.72179680979599, Steps: 76
Linear_Residue2 Episode 131, Reward: -54.93268948175273, Steps: 56
Linear_Residue2 Episode 132, Reward: -120.7873710089496, Steps: 82
Linear_Residue2 Episode 133, Reward: -63.43555765026889, Steps: 71
Linear_Residue2 Episode 134, Reward: -66.09984772839864, Steps: 62
Linear_Residue2 Episode 135, Reward: -80.55213949916475, Steps: 79
Linear_Residue2 Episode 136, Reward: -68.34849727023209, Steps: 54
Linear_Residue2 Episode 137, Reward: 23.068560135824654, Steps: 92
Linear_Residue2 Episode 138, Reward: 13.467211900444696, Steps: 89
Linear_Residue2 Episode 139, Reward: 63.459892022761636, Steps: 87
Linear_Residue2 Episode 140, Reward: 54.53864297014735, Steps: 146
Linear_Residue2 Episode 141, Reward: -22.46636979093273, Steps: 119
Linear_Residue2 Episode 142, Reward: -126.99034034017205, Steps: 241
Linear_Residue2 Episode 143, Reward: -105.99878375052147, Steps: 128
Linear_Residue2 Episode 144, Reward: -111.71821217262939, Steps: 77
Linear_Residue2 Episode 145, Reward: -120.29424007410833, Steps: 118
Linear_Residue2 Episode 146, Reward: -138.53053155712618, Steps: 107
Linear_Residue2 Episode 147, Reward: -130.74410079430405, Steps: 158
Linear_Residue2 Episode 148, Reward: -319.5625161244816, Steps: 288
Linear_Residue2 Episode 149, Reward: -77.51506367513824, Steps: 377
Linear_Residue2 Episode 150, Reward: -101.32828548813178, Steps: 119
Linear_Residue2 Episode 151, Reward: -188.85832678481728, Steps: 90
Linear_Residue2 Episode 152, Reward: -155.3374577983738, Steps: 127
Linear_Residue2 Episode 153, Reward: -167.92487462260513, Steps: 120
Linear_Residue2 Episode 154, Reward: -268.5434116633952, Steps: 151
Linear_Residue2 Episode 155, Reward: -181.70113899813256, Steps: 119
Linear_Residue2 Episode 156, Reward: -86.12835867914428, Steps: 137
Linear_Residue2 Episode 157, Reward: -100.34092406034598, Steps: 111
Linear_Residue2 Episode 158, Reward: -227.24223567255376, Steps: 284
Linear_Residue2 Episode 159, Reward: -69.45047051622615, Steps: 80
Linear_Residue2 Episode 160, Reward: -91.06081370407367, Steps: 234
Linear_Residue2 Episode 161, Reward: -2.890578618245172, Steps: 278
Linear_Residue2 Episode 162, Reward: -12.677962528388292, Steps: 311
Linear_Residue2 Episode 163, Reward: -17.477005269067064, Steps: 369
Linear_Residue2 Episode 164, Reward: -56.8707717610321, Steps: 71
Linear_Residue2 Episode 165, Reward: -77.3505098576795, Steps: 81
Linear_Residue2 Episode 166, Reward: -15.68665936797862, Steps: 300
Linear_Residue2 Episode 167, Reward: -45.384636431160246, Steps: 125
Linear_Residue2 Episode 168, Reward: -39.89305779951191, Steps: 463
Linear_Residue2 Episode 169, Reward: -96.85374059483789, Steps: 1000
Linear_Residue2 Episode 170, Reward: -73.2018544407031, Steps: 330
Linear_Residue2 Episode 171, Reward: -110.8869993218388, Steps: 84
Linear_Residue2 Episode 172, Reward: -132.42040192959166, Steps: 1000
Linear_Residue2 Episode 173, Reward: -139.28702181252885, Steps: 1000
Linear_Residue2 Episode 174, Reward: -85.33137704151508, Steps: 1000
Linear_Residue2 Episode 175, Reward: -101.61328125543554, Steps: 101
Linear_Residue2 Episode 176, Reward: -98.14349510204217, Steps: 1000
Linear_Residue2 Episode 177, Reward: 2.6916071225939966, Steps: 1000
Linear_Residue2 Episode 178, Reward: -33.25710470738581, Steps: 1000
Linear_Residue2 Episode 179, Reward: -32.17900143655053, Steps: 1000
Linear_Residue2 Episode 180, Reward: -22.89780819670359, Steps: 1000
Linear_Residue2 Episode 181, Reward: -5.36435614373124, Steps: 1000
Linear_Residue2 Episode 182, Reward: -53.54075250473139, Steps: 1000
Linear_Residue2 Episode 183, Reward: -63.74342935184374, Steps: 1000
Linear_Residue2 Episode 184, Reward: -75.88602027094558, Steps: 1000
Linear_Residue2 Episode 185, Reward: -57.39460877758455, Steps: 1000
Linear_Residue2 Episode 186, Reward: -98.03989445329901, Steps: 1000
Linear_Residue2 Episode 187, Reward: -119.24036896970563, Steps: 1000
Linear_Residue2 Episode 188, Reward: -167.738099552459, Steps: 320
Linear_Residue2 Episode 189, Reward: -112.197496326805, Steps: 409
Linear_Residue2 Episode 190, Reward: -33.088724785196526, Steps: 1000
Linear_Residue2 Episode 191, Reward: 40.41944637554964, Steps: 1000
Linear_Residue2 Episode 192, Reward: -49.975562057605124, Steps: 681
Linear_Residue2 Episode 193, Reward: -70.63765280931844, Steps: 1000
Linear_Residue2 Episode 194, Reward: -132.95059084482332, Steps: 1000
Linear_Residue2 Episode 195, Reward: -117.13443673070658, Steps: 1000
Linear_Residue2 Episode 196, Reward: -222.1892441627971, Steps: 738
Linear_Residue2 Episode 197, Reward: -123.54860200780774, Steps: 359
Linear_Residue2 Episode 198, Reward: -12.222927274035708, Steps: 1000
Linear_Residue2 Episode 199, Reward: -150.04857948607912, Steps: 333
Linear_Residue2 Episode 200, Reward: -38.440279364423276, Steps: 293
Linear_Residue2 Episode 201, Reward: -61.27748136181657, Steps: 421
Linear_Residue2 Episode 202, Reward: -80.7077328852073, Steps: 241
Linear_Residue2 Episode 203, Reward: -130.03343821179894, Steps: 1000
Linear_Residue2 Episode 204, Reward: -122.30562786413014, Steps: 432
Linear_Residue2 Episode 205, Reward: -139.7492424504875, Steps: 457
Linear_Residue2 Episode 206, Reward: -221.10586166610233, Steps: 427
Linear_Residue2 Episode 207, Reward: -114.45032309667651, Steps: 268
Linear_Residue2 Episode 208, Reward: -95.68104508271654, Steps: 168
Linear_Residue2 Episode 209, Reward: -42.38207156801964, Steps: 94
Linear_Residue2 Episode 210, Reward: -89.54866927495723, Steps: 295
Linear_Residue2 Episode 211, Reward: -237.30342890527268, Steps: 379
Linear_Residue2 Episode 212, Reward: -44.656293032499704, Steps: 119
Linear_Residue2 Episode 213, Reward: -62.52044399396463, Steps: 122
Linear_Residue2 Episode 214, Reward: -92.13775340347487, Steps: 133
Linear_Residue2 Episode 215, Reward: -92.24016542527292, Steps: 1000
Linear_Residue2 Episode 216, Reward: -227.1819770539296, Steps: 420
Linear_Residue2 Episode 217, Reward: -295.22338012164744, Steps: 408
Linear_Residue2 Episode 218, Reward: 215.16542478836345, Steps: 362
Linear_Residue2 Episode 219, Reward: 144.53292496706942, Steps: 652
Linear_Residue2 Episode 220, Reward: -329.7573515513546, Steps: 731
Linear_Residue2 Episode 221, Reward: -193.53089386245006, Steps: 258
Linear_Residue2 Episode 222, Reward: -188.5419579818614, Steps: 453
Linear_Residue2 Episode 223, Reward: 9.732909974592246, Steps: 102
Linear_Residue2 Episode 224, Reward: -152.041144289697, Steps: 516
Linear_Residue2 Episode 225, Reward: -123.44935572390503, Steps: 1000
Linear_Residue2 Episode 226, Reward: -110.02524041188109, Steps: 1000
Linear_Residue2 Episode 227, Reward: -112.30736665700056, Steps: 1000
Linear_Residue2 Episode 228, Reward: 212.2269366472973, Steps: 227
Linear_Residue2 Episode 229, Reward: -65.30293913124564, Steps: 1000
Linear_Residue2 Episode 230, Reward: -92.03209750740756, Steps: 1000
Linear_Residue2 Episode 231, Reward: -95.0784870627419, Steps: 1000
Linear_Residue2 Episode 232, Reward: 208.4837510382666, Steps: 756
Linear_Residue2 Episode 233, Reward: -141.39641507741257, Steps: 476
Linear_Residue2 Episode 234, Reward: -70.88667397837813, Steps: 265
Linear_Residue2 Episode 235, Reward: -77.77632014157132, Steps: 1000
Linear_Residue2 Episode 236, Reward: 39.14522836449015, Steps: 92
Linear_Residue2 Episode 237, Reward: -86.19072658229084, Steps: 1000
Linear_Residue2 Episode 238, Reward: 16.573820951312893, Steps: 1000
