Residue_Residue2 Episode 129, Reward: -14.061085156811714, Steps: 1384
Residue_Residue2 Episode 130, Reward: 190.93164448086128, Steps: 514
Residue_Residue2 Episode 131, Reward: 187.97284155809496, Steps: 860
Residue_Residue2 Episode 132, Reward: 243.03558207743896, Steps: 233
Residue_Residue2 Episode 133, Reward: -41.45199259981335, Steps: 87
Residue_Residue2 Episode 134, Reward: 184.4287409584353, Steps: 281
Residue_Residue2 Episode 135, Reward: 170.2798772258406, Steps: 628
Residue_Residue2 Episode 136, Reward: -113.49043094219147, Steps: 66
Residue_Residue2 Episode 137, Reward: -141.60462778931273, Steps: 417
Residue_Residue2 Episode 138, Reward: -112.08192753334271, Steps: 306
Residue_Residue2 Episode 139, Reward: 92.45363822619944, Steps: 1076
Residue_Residue2 Episode 140, Reward: -218.26956952463576, Steps: 392
Residue_Residue2 Episode 141, Reward: -128.3150005236799, Steps: 461
Residue_Residue2 Episode 142, Reward: -119.86811479543582, Steps: 226
Residue_Residue2 Episode 143, Reward: -70.74699794222786, Steps: 111
Residue_Residue2 Episode 144, Reward: -161.78391916681943, Steps: 103
Residue_Residue2 Episode 145, Reward: 256.43657070590007, Steps: 232
Residue_Residue2 Episode 146, Reward: 260.67363374411195, Steps: 265
Residue_Residue2 Episode 147, Reward: -52.8589783075945, Steps: 76
Residue_Residue2 Episode 148, Reward: 252.8594632270169, Steps: 205
Residue_Residue2 Episode 149, Reward: -150.1564158851144, Steps: 81
Residue_Residue2 Episode 150, Reward: 263.8870662449227, Steps: 282
Residue_Residue2 Episode 151, Reward: 240.11808855978705, Steps: 197
Residue_Residue2 Episode 152, Reward: -166.3040842220405, Steps: 65
Residue_Residue2 Episode 153, Reward: -27.557209539513508, Steps: 335
Residue_Residue2 Episode 154, Reward: -72.3851587046313, Steps: 350
Residue_Residue2 Episode 155, Reward: -27.89373258966259, Steps: 197
Residue_Residue2 Episode 156, Reward: 207.32167128002192, Steps: 1524
Residue_Residue2 Episode 157, Reward: 278.12401690237687, Steps: 279
Residue_Residue2 Episode 158, Reward: 287.779837734088, Steps: 372
Residue_Residue2 Episode 159, Reward: 226.57993338434977, Steps: 371
Residue_Residue2 Episode 160, Reward: -149.73810677919496, Steps: 53
Residue_Residue2 Episode 161, Reward: -114.88747254508996, Steps: 79
Residue_Residue2 Episode 162, Reward: 210.14670676953364, Steps: 365
Residue_Residue2 Episode 163, Reward: -189.72335167673074, Steps: 74
Residue_Residue2 Episode 164, Reward: -153.71643293347216, Steps: 92
Residue_Residue2 Episode 165, Reward: -54.055412434743104, Steps: 263
Residue_Residue2 Episode 166, Reward: 192.22531044162722, Steps: 239
Residue_Residue2 Episode 167, Reward: 272.7104592664954, Steps: 507
Residue_Residue2 Episode 168, Reward: 2.729695437202807, Steps: 100
Residue_Residue2 Episode 169, Reward: -43.5363734371694, Steps: 145
Residue_Residue2 Episode 170, Reward: -130.86550107963203, Steps: 89
Residue_Residue2 Episode 171, Reward: 251.88499919626716, Steps: 182
Residue_Residue2 Episode 172, Reward: -127.04592763528794, Steps: 76
Residue_Residue2 Episode 173, Reward: -121.62925145550008, Steps: 84
Residue_Residue2 Episode 174, Reward: 33.91114523387259, Steps: 136
Residue_Residue2 Episode 175, Reward: -128.27799439125164, Steps: 80
Residue_Residue2 Episode 176, Reward: -34.22203657982172, Steps: 117
Residue_Residue2 Episode 177, Reward: 222.42586467667866, Steps: 752
Residue_Residue2 Episode 178, Reward: 239.46309963984086, Steps: 299
Residue_Residue2 Episode 179, Reward: -16.62602068887189, Steps: 201
Residue_Residue2 Episode 180, Reward: 13.268340803262376, Steps: 117
Residue_Residue2 Episode 181, Reward: 299.69092694271654, Steps: 194
Residue_Residue2 Episode 182, Reward: 249.9890983471318, Steps: 227
Residue_Residue2 Episode 183, Reward: -127.24979687710373, Steps: 90
Residue_Residue2 Episode 184, Reward: 274.76493418804023, Steps: 418
Residue_Residue2 Episode 185, Reward: 197.25811752987562, Steps: 453
Residue_Residue2 Episode 186, Reward: -44.39312815475404, Steps: 104
Residue_Residue2 Episode 187, Reward: 199.43472538003, Steps: 520
Residue_Residue2 Episode 188, Reward: -162.27965709794677, Steps: 141
Residue_Residue2 Episode 189, Reward: 269.4939148678907, Steps: 198
Residue_Residue2 Episode 190, Reward: 247.42487501343768, Steps: 326
Residue_Residue2 Episode 191, Reward: 259.4312418420078, Steps: 234
Residue_Residue2 Episode 192, Reward: 250.3530166825134, Steps: 212
Residue_Residue2 Episode 193, Reward: 243.1004345171418, Steps: 251
Residue_Residue2 Episode 194, Reward: -504.92433914401886, Steps: 4489
Residue_Residue2 Episode 195, Reward: 169.63285627130767, Steps: 272
Residue_Residue2 Episode 196, Reward: -168.08998330894872, Steps: 312
Residue_Residue2 Episode 197, Reward: 157.50314667950153, Steps: 560
Residue_Residue2 Episode 198, Reward: 206.33477309293633, Steps: 211
