LinearNorm_Linear2 Episode 188, Reward: -227.99261041678213, Steps: 224
LinearNorm_Linear2 Episode 189, Reward: -440.7339283056501, Steps: 2518
LinearNorm_Linear2 Episode 190, Reward: -524.8868229254298, Steps: 203
LinearNorm_Linear2 Episode 191, Reward: -188.95837975825435, Steps: 472
LinearNorm_Linear2 Episode 192, Reward: -97.57735597594731, Steps: 499
LinearNorm_Linear2 Episode 193, Reward: -113.99757333851942, Steps: 172
LinearNorm_Linear2 Episode 194, Reward: -111.45564344677823, Steps: 471
LinearNorm_Linear2 Episode 195, Reward: -70.05693739850697, Steps: 164
LinearNorm_Linear2 Episode 196, Reward: -354.73190269498446, Steps: 715
LinearNorm_Linear2 Episode 197, Reward: -259.6238684147211, Steps: 612
LinearNorm_Linear2 Episode 198, Reward: -153.45372579434985, Steps: 403
LinearNorm_Linear2 Episode 199, Reward: -17.320177453711295, Steps: 232
LinearNorm_Linear2 Episode 200, Reward: -54.96871411296334, Steps: 431
LinearNorm_Linear2 Episode 201, Reward: 238.6669363729947, Steps: 519
LinearNorm_Linear2 Episode 202, Reward: -572.2768171870058, Steps: 424
LinearNorm_Linear2 Episode 203, Reward: 165.50450131355794, Steps: 712
LinearNorm_Linear2 Episode 204, Reward: 171.3870529331477, Steps: 673
LinearNorm_Linear2 Episode 205, Reward: -100.27189222260695, Steps: 637
LinearNorm_Linear2 Episode 206, Reward: -300.4534412968593, Steps: 473
LinearNorm_Linear2 Episode 207, Reward: -419.727655079718, Steps: 619
LinearNorm_Linear2 Episode 208, Reward: 184.89750535860853, Steps: 895
LinearNorm_Linear2 Episode 209, Reward: 114.09694421703804, Steps: 1209
LinearNorm_Linear2 Episode 210, Reward: -95.3291584157423, Steps: 855
LinearNorm_Linear2 Episode 211, Reward: -2038.8858164975081, Steps: 10337
LinearNorm_Linear2 Episode 212, Reward: -239.52615244094284, Steps: 721
LinearNorm_Linear2 Episode 213, Reward: -434.8080529447857, Steps: 1652
LinearNorm_Linear2 Episode 214, Reward: -1200.4283519653616, Steps: 4509
LinearNorm_Linear2 Episode 215, Reward: -92.37444115590324, Steps: 166
LinearNorm_Linear2 Episode 216, Reward: 106.77329373997665, Steps: 934
LinearNorm_Linear2 Episode 217, Reward: -602.6634056346226, Steps: 1911
LinearNorm_Linear2 Episode 218, Reward: -101.13119014437592, Steps: 90
LinearNorm_Linear2 Episode 219, Reward: -155.43057588255493, Steps: 254
LinearNorm_Linear2 Episode 220, Reward: -92.72802942915303, Steps: 147
LinearNorm_Linear2 Episode 221, Reward: -542.1652473271236, Steps: 1089
LinearNorm_Linear2 Episode 222, Reward: -255.83203650567043, Steps: 316
LinearNorm_Linear2 Episode 223, Reward: -48.64841679488434, Steps: 153
LinearNorm_Linear2 Episode 224, Reward: -26.80367738643426, Steps: 111
LinearNorm_Linear2 Episode 225, Reward: -59.03561809699467, Steps: 191
LinearNorm_Linear2 Episode 226, Reward: -61.47931787017465, Steps: 152
LinearNorm_Linear2 Episode 227, Reward: -71.07863269851458, Steps: 170
LinearNorm_Linear2 Episode 228, Reward: -157.01643275302732, Steps: 99
LinearNorm_Linear2 Episode 229, Reward: -57.80754454767242, Steps: 114
LinearNorm_Linear2 Episode 230, Reward: -60.23477306986709, Steps: 147
LinearNorm_Linear2 Episode 231, Reward: -118.36042964584684, Steps: 127
LinearNorm_Linear2 Episode 232, Reward: -38.93142566837352, Steps: 205
LinearNorm_Linear2 Episode 233, Reward: 202.90098692611397, Steps: 590
LinearNorm_Linear2 Episode 234, Reward: -4.36916819984765, Steps: 83
LinearNorm_Linear2 Episode 235, Reward: -171.434391812088, Steps: 173
LinearNorm_Linear2 Episode 236, Reward: -4.897368286881047, Steps: 236
