Residue_Linear1 Episode 139, Reward: -128.33731339130796, Steps: 89
Residue_Linear1 Episode 140, Reward: -124.78506552352349, Steps: 56
Residue_Linear1 Episode 141, Reward: -102.82079077609066, Steps: 89
Residue_Linear1 Episode 142, Reward: -138.04488623321276, Steps: 53
Residue_Linear1 Episode 143, Reward: -137.36190097854856, Steps: 64
Residue_Linear1 Episode 144, Reward: -160.05266641571455, Steps: 66
Residue_Linear1 Episode 145, Reward: -193.80753411748606, Steps: 91
Residue_Linear1 Episode 146, Reward: -95.17087876159141, Steps: 58
Residue_Linear1 Episode 147, Reward: -141.7190848982287, Steps: 55
Residue_Linear1 Episode 148, Reward: -129.91322944014382, Steps: 53
Residue_Linear1 Episode 149, Reward: -180.3629900688811, Steps: 69
Residue_Linear1 Episode 150, Reward: -171.00425815966048, Steps: 82
Residue_Linear1 Episode 151, Reward: -102.91930507474177, Steps: 51
Residue_Linear1 Episode 152, Reward: -134.48788519066255, Steps: 82
Residue_Linear1 Episode 153, Reward: -103.97583076648425, Steps: 85
Residue_Linear1 Episode 154, Reward: -121.78984607994664, Steps: 82
Residue_Linear1 Episode 155, Reward: -129.76457072963947, Steps: 86
Residue_Linear1 Episode 156, Reward: -134.58948624334457, Steps: 71
Residue_Linear1 Episode 157, Reward: -128.31376045147516, Steps: 66
Residue_Linear1 Episode 158, Reward: -142.29316610799034, Steps: 84
Residue_Linear1 Episode 159, Reward: -138.7431213901579, Steps: 58
Residue_Linear1 Episode 160, Reward: -161.78666317597552, Steps: 80
Residue_Linear1 Episode 161, Reward: -121.34169209664293, Steps: 58
Residue_Linear1 Episode 162, Reward: -35.487927561861056, Steps: 78
Residue_Linear1 Episode 163, Reward: -138.334440325013, Steps: 61
Residue_Linear1 Episode 164, Reward: -114.85879342924233, Steps: 83
Residue_Linear1 Episode 165, Reward: -112.9218585553563, Steps: 79
Residue_Linear1 Episode 166, Reward: -128.49349971512785, Steps: 56
Residue_Linear1 Episode 167, Reward: 16.275451738793862, Steps: 94
Residue_Linear1 Episode 168, Reward: -108.45872942262764, Steps: 77
Residue_Linear1 Episode 169, Reward: -180.66828670293464, Steps: 83
Residue_Linear1 Episode 170, Reward: -157.05163428480262, Steps: 81
